Country,total_confirmed,total_deaths,total_recovered,avg_daily_cases,max_daily_cases,num_records,Population,cases_per_million,deaths_per_million,high_risk
US,224345948,11011411,56353416,1193329.5106382978,4290259,188,331000000.0,677782.3202416918,33267.10271903324,True
Brazil,89524967,3938034,54492873,476196.6329787234,2442375,188,212000000.0,422287.5801886792,18575.632075471698,True
Russia,45408411,619385,25120448,241534.1010638298,816680,188,144000000.0,315336.1875,4301.284722222222,True
India,40883464,1111831,23783720,217465.2340425532,1480073,188,1380000000.0,29625.69855072464,805.6746376811594,False
Spain,27404045,3033030,15093583,145766.19680851063,272421,188,47000000.0,583064.7872340425,64532.55319148936,True
United Kingdom,26748587,3997775,126217,12934.519825918762,300111,2068,67000000.0,399232.6417910448,59668.283582089556,True
Italy,26745145,3707717,15673910,142261.4095744681,246286,188,60000000.0,445752.4166666666,61795.28333333333,True
France,21210926,3048524,7182115,10256.734042553191,208665,2068,67000000.0,316580.98507462686,45500.35820895523,True
Germany,21059152,871322,17107839,112016.76595744681,207112,188,83000000.0,253724.72289156629,10497.855421686747,True
Iran,19339267,1024136,15200895,102868.4414893617,293606,188,84000000.0,230229.36904761902,12192.095238095239,True
Turkey,17903345,466056,13345389,95230.5585106383,227019,188,84000000.0,213135.0595238095,5548.285714285714,True
Mexico,14946202,1728277,11141225,79501.0744680851,395489,188,128000000.0,116767.203125,13502.1640625,True
Colombia,6893122,236525,2823811,36665.54255319149,257101,188,51000000.0,135159.25490196078,4637.745098039216,True
Argentina,4450658,97749,1680024,23673.712765957447,167416,188,45000000.0,98903.5111111111,2172.2,True
Poland,2755525,118018,1465856,14657.047872340425,43402,188,38000000.0,72513.8157894737,3105.7368421052633,True
